iter	Passed	Remaining
246	398	1214
247	399	1210
248	400	1206
249	401	1204
250	402	1200
251	403	1196
252	404	1192
253	405	1190
254	406	1186
255	407	1183
256	408	1179
257	409	1176
258	409	1172
259	410	1168
260	411	1165
261	412	1161
262	413	1158
263	414	1155
264	415	1152
265	416	1149
266	417	1146
267	418	1143
268	419	1140
269	420	1136
270	421	1133
271	422	1129
272	423	1126
273	424	1123
274	424	1119
275	425	1116
276	426	1113
277	427	1110
278	428	1106
279	429	1103
280	430	1101
281	432	1100
282	433	1097
283	434	1094
284	435	1091
285	436	1088
286	436	1085
287	437	1082
288	438	1079
289	439	1076
290	440	1073
291	441	1070
292	442	1067
293	443	1064
294	444	1061
295	445	1060
296	446	1057
297	447	1054
298	448	1051
299	449	1048
300	450	1045
301	451	1042
302	451	1039
303	452	1036
304	453	1033
305	454	1031
306	455	1028
307	456	1025
308	458	1024
309	459	1023
310	460	1020
311	461	1018
312	462	1015
313	463	1012
314	464	1010
315	465	1007
316	466	1004
317	467	1001
318	467	998
319	468	996
320	469	993
321	470	990
322	471	987
323	471	984
324	473	982
325	474	980
326	475	978
327	476	975
328	477	973
329	478	970
330	478	968
331	479	965
332	480	962
333	481	959
334	482	957
335	483	955
336	484	952
337	484	949
338	485	947
339	486	944
340	488	943
341	488	940
342	489	938
343	490	935
344	491	933
345	492	931
346	493	928
347	494	926
348	495	923
349	496	921
350	498	921
351	500	920
352	501	918
353	503	918
354	504	915
355	504	913
356	505	910
357	506	908
358	507	905
359	508	903
360	509	901
361	510	899
362	511	897
363	512	895
364	513	893
365	514	891
366	515	889
367	517	888
368	518	886
369	519	883
370	520	881
371	521	880
372	522	878
373	523	876
374	524	873
375	525	871
376	526	869
377	527	867
378	528	865
379	528	862
380	530	861
381	531	860
382	532	858
383	533	856
384	534	854
385	535	852
386	536	850
387	537	848
388	538	846
389	539	844
390	540	842
391	541	840
392	542	838
393	543	836
394	545	836
395	546	834
396	548	832
397	549	831
398	550	829
399	551	827
400	552	825
401	554	824
402	555	822
403	556	820
404	557	818
405	558	816
406	559	815
407	560	813
408	561	811
409	562	809
410	563	807
411	564	805
412	564	802
413	565	800
414	566	798
415	567	796
416	567	793
417	568	791
418	569	789
419	570	787
420	570	785
421	571	782
422	572	780
423	573	779
424	574	777
425	575	775
426	576	773
427	576	771
428	577	769
429	578	767
430	579	765
431	580	763
432	581	760
433	581	758
434	582	756
435	583	754
436	584	752
437	584	750
438	585	748
439	586	746
440	587	744
441	588	743
442	589	741
443	590	739
444	591	737
445	592	735
446	592	733
447	593	731
448	594	729
449	595	727
450	595	725
451	596	723
452	597	721
453	598	719
454	598	717
455	599	715
456	600	713
457	601	711
458	602	709
459	603	708
460	604	706
461	605	705
462	606	703
463	607	701
464	608	699
465	609	698
466	609	696
467	610	694
468	611	692
469	612	690
470	613	688
471	613	686
472	614	684
473	615	682
474	616	680
475	617	679
476	618	677
477	619	676
